Title,Year,Rating
"Arnaques, crimes et botanique",1998,"8,1"
V pour Vendetta,2005,"8,1"
Arrête-moi si tu peux,2002,"8,1"
Vice-versa,2015,"8,1"
Rashomon,1950,"8,1"
3 Billboards : Les Panneaux de la vengeance,2017,"8,1"
Trainspotting,1996,"8,1"
Le Pont de la rivière Kwaï,1957,"8,1"
Harry Potter et les Reliques de la Mort : partie 2,2011,"8,1"
Le Cercle des poètes disparus,1989,"8,1"
Le Robot sauvage,2024,"8,2"
Warrior,2011,"8,1"
Barry Lyndon,1975,"8,1"
Fargo,1996,"8,1"
Hababam Sinifi: Sinifta Kaldi,1975,"8,5"
Ben-Hur,1959,"8,1"
Raging Bull,1980,"8,1"
Million Dollar Baby,2004,"8,1"
Mad Max: Fury Road,2015,"8,1"
Les Enfants du ciel,1997,"8,2"
Tu ne tueras point,2016,"8,1"
Mon voisin Totoro,1988,"8,1"
Gran Torino,2008,"8,1"
Ratatouille,2007,"8,1"
12 Years a Slave,2013,"8,1"
The Grand Budapest Hotel,2014,"8,1"
Before Sunrise,1995,"8,1"
Memories of Murder,2003,"8,1"
Blade Runner,1982,"8,1"
Dragons,2010,"8,1"
Spider-Man: No Way Home,2021,"8,1"
Gone Girl,2014,"8,1"
Monstres & Cie,2001,"8,1"
Les Dents de la mer,1975,"8,1"
Au nom du père,1993,"8,1"
Le Mans '66,2019,"8,1"
Les Nouveaux Sauvages,2014,"8,1"
La Ruée vers l'or,1925,"8,1"
Mary et Max.,2009,"8,1"
Sherlock Junior,1924,"8,1"
Voyage au bout de l'enfer,1978,"8,1"
Le Salaire de la peur,1953,"8,1"
Le Mécano de la General,1926,"8,1"
Logan,2017,"8,1"
Rocky,1976,"8,1"
Smith au sénat,1939,"8,1"
Voyage à Tokyo,1953,"8,1"
Sur les quais...,1954,"8,1"
Pirates des Caraïbes : La Malédiction du Black Pearl,2003,"8,1"
Les Fraises sauvages,1957,"8,1"
Silent Voice,2016,"8,2"
Spotlight,2015,"8,1"
La Haine,1995,"8,1"
Terminator,1984,"8,1"
Jai Bhim,2021,"8,6"
Maharaja,2024,"8,3"
La Mélodie du bonheur,1965,"8,1"
Le Troisième Homme,1949,"8,1"
The Big Lebowski,1998,"8,1"
Les Plus Belles Années de notre vie,1946,"8,1"
Chainsaw Man - Le Film : L'Arc de Reze,2025,"8,3"
Le Septième Sceau,1957,"8,1"
Before Sunset,2004,"8,1"
Room,2015,"8,1"
Hôtel Rwanda,2004,"8,1"
Les Indestructibles,2004,"8,0"
Platoon,1986,"8,1"
Hatchi,2009,"8,1"
L'Exorciste,1973,"8,1"
Rush,2013,"8,1"
Le Géant de fer,1999,"8,1"
Le Magicien d'Oz,1939,"8,1"
Stand by Me,1986,"8,1"
La Passion de Jeanne d'Arc,1928,"8,1"
Mon père et mon fils,2005,"8,2"
La bataille d'Alger,1966,"8,1"
Mademoiselle,2016,"8,1"
Network : Main basse sur la TV,1976,"8,1"
Drishyam,2015,"8,2"
Gangs of Wasseypur,2012,"8,2"
Les Raisins de la colère,1940,"8,1"
